Name,Unknown #1,Unknown #2,Type 1,Type 2,Level,Health,MP,SP,VIT,AGI,SPD,MEN,Stamina,IP Stun,IP Cancel Stun,Evasion Still %,Evasion Moving %,Fire Resist %,Wind Resist %,Earth Resist %,Lightning Resist %,Blizzard Resist %,Status Effect Resist Bitflag,Knockback Resist,Status Recovery Time,T_DMG,Unknown #3,T_HEAL,Size,Unknown #4,Unknown #5,No Run,Unknown #6,EXP,Skill Coins,Magic Coins,Gold Coins,Item 1,Item 2,Item 1 Chance,Item 2 Chance,Unknown #7
        Right Hand,0,4,22,8,25,4000,0,480,162,98,40,80,288,10,50,0,0,-3,0,3,0,0,139,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,   Ancient Cuirass,0,100,0
        Right Hand,0,4,22,8,52,18000,0,600,352,93,40,369,288,10,20,0,0,0,0,0,0,0,137,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,     Golden Potion,0,100,0
         Left Hand,0,4,23,8,25,4000,0,480,153,118,40,90,288,10,50,0,0,4,0,0,0,-5,138,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,       Revival Gem,0,100,0
         Left Hand,0,4,23,8,52,18000,0,600,352,93,40,369,288,10,20,0,0,0,0,0,0,0,136,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
              Head,0,4,24,8,25,5000,880,360,107,83,40,165,288,10,50,0,0,0,0,0,0,0,172,35,360,300,0,500,100,200,0,1,0,0,0,0,800,                  ,                  ,0,0,0
              Head,0,4,24,8,52,9000,580,330,684,146,40,578,288,10,20,0,0,0,0,0,0,0,42,35,360,300,0,500,100,200,85,1,0,0,0,0,0,                  ,     Indigo Potion,0,100,0
   Valmar's Tongue,1,3,21,8,25,8000,360,880,131,129,40,153,288,10,50,0,0,-5,0,0,0,3,222,35,240,420,0,500,200,200,0,1,0,500,1200,800,0,                  ,   Book of Wizards,0,100,0
   Valmar's Tongue,1,3,21,8,52,27000,240,520,261,125,40,137,288,10,20,0,0,0,0,0,0,0,222,35,240,420,0,500,200,200,0,1,0,3000,4000,1000,0,                  ,   Starlight Tiara,0,100,0
     Right Tendril,0,4,27,8,30,6000,0,600,157,128,40,103,288,10,50,0,0,0,0,0,0,0,140,30,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,        Warp Knife,0,100,0
     Right Tendril,0,4,27,8,53,20000,0,720,247,132,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,1,0,0,0,0,0,                  ,     Indigo Potion,0,100,0
      Left Tendril,0,4,28,8,30,6000,0,600,157,94,40,103,288,10,50,0,0,0,0,0,0,0,138,30,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,       Gravity Egg,0,100,0
      Left Tendril,0,4,28,8,53,20000,0,720,247,132,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
       Eyeball Bat,0,5,29,8,30,3000,0,370,149,105,100,126,192,15,50,0,0,0,0,5,0,0,145,5,360,360,0,500,70,200,0,1,0,0,0,0,300,                  ,                  ,0,0,0
       Eyeball Bat,0,5,29,8,53,20000,0,560,224,274,100,235,192,10,20,0,0,0,0,0,0,0,16,5,360,360,0,500,70,200,85,1,0,0,0,0,0,                  ,    Scarlet Potion,0,100,0
      Valmar's Eye,2,3,26,8,30,12000,660,720,176,145,40,132,288,10,50,0,0,0,0,8,0,0,254,30,300,360,0,500,200,200,0,1,0,800,1800,1800,0,                  ,     Demon's Tears,0,100,0
      Valmar's Eye,2,3,26,8,53,20000,620,640,281,108,40,186,288,10,20,0,0,0,0,0,0,0,254,30,300,480,0,500,200,200,0,1,0,3000,4000,1000,0,                  ,       Queen Heels,0,100,0
         Right Arm,0,4,32,8,35,8000,440,540,352,126,50,95,288,10,30,0,0,0,0,-3,0,7,154,40,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,     Mana Insignia,0,100,0
          Left Arm,0,4,33,8,35,9000,560,450,234,143,50,237,288,10,30,0,0,0,0,-7,5,0,188,40,480,240,0,500,90,200,0,1,0,0,0,0,2100,                  ,                  ,0,0,0
     Valmar's Claw,3,3,31,8,35,14000,490,840,273,161,50,158,288,10,30,0,0,0,0,-5,0,0,254,40,240,480,0,500,170,200,0,1,0,1000,2400,1200,0,                  ,     Book of Gales,0,100,0
             Sword,0,4,37,8,40,11000,0,0,523,75,450,100,96,10,30,0,0,-3,-3,-3,-3,-3,223,25,360,540,0,500,70,200,83,1,0,0,0,0,0,                  ,     Maken Valborg,0,100,0
             Sword,0,4,37,8,40,11000,0,0,999,150,150,999,192,10,30,100,0,0,7,0,0,0,255,4121,360,540,0,500,70,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
       Regenerator,0,4,38,8,40,13000,600,0,174,138,450,461,96,10,30,0,0,0,0,0,0,0,184,25,240,540,0,500,60,200,83,1,0,0,0,0,0,                  ,    Book of Swords,0,100,0
       Regenerator,0,4,38,8,40,13000,600,0,999,174,150,999,192,10,30,100,0,0,0,3,-3,0,255,4121,240,540,0,500,60,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
           Melfice,4,3,36,8,40,19000,840,950,289,187,450,172,96,10,30,100,0,0,0,0,0,0,254,25,120,480,0,500,80,200,83,1,0,1500,3600,1800,0,                  ,     Soul of Asura,0,100,0
           Melfice,4,3,36,8,40,19000,840,950,999,316,150,999,192,10,30,100,0,5,-5,0,0,0,255,4121,120,480,0,500,80,200,83,1,0,0,0,0,0,                  ,                  ,0,0,0
    Right Tentacle,0,5,42,8,44,14000,0,0,315,172,0,183,192,15,30,0,0,6,0,-7,0,0,152,0,360,240,0,500,300,200,0,1,0,0,0,0,0,                  ,      Angel Circle,0,100,0
     Left Tentacle,0,5,43,8,44,14000,0,0,315,172,0,183,192,15,30,0,0,0,0,-4,0,8,152,0,360,240,0,500,300,200,0,1,0,0,0,0,4000,                  ,                  ,0,0,0
     Valmar's Body,5,3,41,8,44,24000,840,720,315,172,0,183,192,10,50,0,0,-2,0,0,3,0,254,0,300,300,0,500,300,200,0,1,0,1600,6000,6000,0,                  ,        Relief Tag,0,100,0
          Left Eye,0,4,48,8,45,13000,580,0,324,129,100,175,192,10,30,0,0,0,0,6,0,-5,168,30,240,300,0,500,90,200,0,1,0,0,0,0,0,                  ,  Goddess Hi-Heels,0,100,0
          Left Eye,0,4,48,8,54,16000,560,0,273,124,100,176,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,1,0,0,0,0,0,                  ,     Mystic Potion,0,100,0
         Right Eye,0,4,47,8,45,13000,580,0,293,231,100,148,192,10,30,0,0,-5,0,7,0,0,168,30,240,300,0,500,90,200,0,1,0,0,0,0,4500,                  ,                  ,0,0,0
         Right Eye,0,4,47,8,54,16000,560,0,338,101,100,102,192,10,20,0,0,10,10,10,10,10,44,30,120,360,0,500,90,200,85,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
    Valmar's Heart,6,3,46,8,45,21000,0,840,337,198,100,192,192,10,50,0,0,0,-5,5,0,0,254,30,240,360,0,500,220,200,0,1,0,1800,8000,8000,0,                  ,      Holy Clothes,0,100,0
    Valmar's Heart,6,3,46,8,54,25000,560,920,308,119,100,215,192,10,20,0,0,10,10,10,10,10,255,30,120,360,0,500,220,200,0,1,0,3000,4000,1000,0,                  ,     Tenma's Dress,0,100,0
