Name,Unknown #1,Unknown #2,Type 1,Type 2,Level,Health,MP,SP,VIT,AGI,SPD,MEN,Stamina,IP Stun,IP Cancel Stun,Evasion Still %,Evasion Moving %,Fire Resist %,Wind Resist %,Earth Resist %,Lightning Resist %,Blizzard Resist %,Status Effect Resist Bitflag,Knockback Resist,Status Recovery Time,T_DMG,Unknown #3,T_HEAL,Size,Unknown #4,Unknown #5,No Run,Unknown #6,EXP,Skill Coins,Magic Coins,Gold Coins,Item 1,Item 2,Item 1 Chance,Item 2 Chance,Unknown #7
        Right Hand,0,4,22,8,25,4600,0,480,164,105,40,80,288,10,50,0,0,-2,0,3,0,0,139,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,   Ancient Cuirass,0,100,0
        Right Hand,0,4,22,8,52,18000,0,600,352,105,40,369,288,10,20,0,0,0,0,0,0,0,137,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,     Golden Potion,0,100,0
         Left Hand,0,4,23,8,25,4600,0,480,155,125,40,90,288,10,50,0,0,4,0,0,0,-4,138,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,       Revival Gem,0,100,0
         Left Hand,0,4,23,8,52,18000,0,600,352,125,40,369,288,10,20,0,0,0,0,0,0,0,136,35,480,240,0,500,100,200,0,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
              Head,0,4,24,8,25,5300,880,360,109,88,40,165,288,10,50,0,0,0,0,0,0,0,172,35,360,300,0,500,100,200,0,1,0,0,0,0,800,                  ,                  ,0,0,0
              Head,0,4,24,8,52,12000,880,360,684,160,40,578,288,10,20,0,0,0,0,0,0,0,42,35,360,300,0,500,100,200,85,1,0,0,0,0,0,                  ,     Indigo Potion,0,100,0
   Valmar's Tongue,1,3,21,8,25,8500,360,880,133,140,40,153,288,10,50,0,0,-4,0,0,0,3,222,35,240,420,0,500,200,200,0,1,0,500,1200,800,0,                  ,   Book of Wizards,0,100,0
   Valmar's Tongue,1,3,21,8,52,27000,360,880,261,140,40,137,288,10,20,0,0,0,0,0,0,0,222,35,240,420,0,500,200,200,0,1,0,3000,4000,1000,0,                  ,   Starlight Tiara,0,100,0
     Right Tendril,0,4,27,8,30,8500,0,900,176,148,40,125,288,10,50,0,0,0,0,0,0,0,140,30,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,        Warp Knife,0,100,0
     Right Tendril,0,4,27,8,53,25000,0,900,247,148,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,1,0,0,0,0,0,                  ,     Indigo Potion,0,100,0
      Left Tendril,0,4,28,8,30,8500,0,900,176,110,40,125,288,10,50,0,0,0,0,0,0,0,138,30,480,240,0,500,90,200,0,1,0,0,0,0,0,                  ,       Gravity Egg,0,100,0
      Left Tendril,0,4,28,8,53,25000,0,900,247,132,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,0,500,90,200,0,1,0,0,0,0,0,                  ,   Potion of Azure,0,100,0
       Eyeball Bat,0,5,29,8,30,4000,0,450,151,175,110,140,192,15,50,0,0,0,0,5,0,0,145,5,360,360,0,500,70,200,0,1,0,0,0,0,300,                  ,                  ,0,0,0
       Eyeball Bat,0,5,29,8,53,25000,0,560,224,274,100,235,192,10,20,0,0,0,0,0,0,0,16,5,360,360,0,500,70,200,85,1,0,0,0,0,0,                  ,    Scarlet Potion,0,100,0
