index,icon,name,cost,target effect,target type,strength,power,range,cast Lv1,castLv5,Recovery,Animation,???,knockdown,IP Damage,IP Cancel Damage,knockback,element,element strength,status effect bitflag,status effect chance, ATK change, DEF change, ACT change, MOV change, special effect, cost Lv1, cost Lv2, cost Lv3, cost Lv4, cost Lv5, power multiplier, description
0,0,                  ,0,NULL,NULL,0,0,0,0,0,0,                  ,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,                                        
1,0,             Burn!,6,Magical Damage(MAG),One Enemy,40,250,0,180,30,12000,             Burn!,0,0,0,0,80,Fire,10,0,0,0,0,0,0,0,120,60,90,150,240,25,Attack enemy with fireballs             
2,0,         Burnflame,16,Magical Damage(MAG),Area Enemies,70,250,600,240,40,12000,         Burnflame,0,0,0,0,50,Fire,10,0,0,0,0,0,0,0,160,80,120,200,320,25,Attack with a huge pillar of fire       
3,0,        Burnstrike,20,Magical Damage(MAG),One Enemy,240,250,0,270,20,13000,        Burnstrike,0,1,0,0,120,Fire,10,0,0,0,0,0,0,0,240,120,180,300,480,25,Attack enemy with countless firebirds   
4,0,        Hellburner,42,Magical Damage(MAG),All Enemies,320,250,0,360,60,13000,        Hellburner,0,1,0,0,100,Fire,10,0,0,0,0,0,0,0,320,160,240,400,640,25,Burn up enemy with hellfire             
5,1,              Howl,9,Magical Damage(MAG),Area Enemies,0,225,600,180,30,12000,              Howl,0,0,1000,0,100,Wind,10,0,0,0,0,0,0,0,120,60,90,150,240,25,Attack with tornado energy              
6,1,         Howlslash,14,Magical Damage(MAG),Enemy Line,100,225,300,240,40,12000,         Howlslash,0,1,1500,0,200,Wind,10,0,0,0,0,0,0,0,160,80,120,200,320,25,Attack with sharp wind blades           
7,1,          Howlnado,45,Magical Damage(MAG),All Enemies,320,225,0,360,60,13000,          Howlnado,0,1,1000,0,0,Wind,10,8,30,0,0,0,0,11,320,160,240,400,640,25,Tornado attack that engulfs all enemies 
8,1,            Runner,3,Ally Buff/Debuff,All Allies,0,0,0,120,20,11000,            Runner,0,0,0,0,0,Fire,0,0,0,0,0,0,1,0,60,30,45,75,120,0,Boosts movement with a tailwind         
9,1,             Shhh!,10,Enemy Buff/Debuff,Area Enemies,0,0,400,150,25,11000,             Shhh!,0,0,0,0,0,Fire,0,32,70,0,0,0,0,0,60,30,45,75,120,0,Blocks magic with a vacuum              
10,5,            Snooze,5,Enemy Buff/Debuff,All Enemies,0,0,0,165,15,11000,            Snooze,0,0,0,0,0,Fire,0,2,70,0,0,0,0,0,60,30,45,75,120,0,Puts enemies to sleep with bubbles      
11,5,              Heal,6,Restore HP(MEN),One Ally,0,400,0,165,15,11000,              Heal,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,120,60,90,150,240,50,Restores a little HP                    
12,5,            Healer,12,Restore HP(MEN),One Ally,0,800,0,180,30,11000,            Healer,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,160,80,120,200,320,50,Restores a lot of HP                    
13,5,           Healer+,24,Restore HP(MEN),One Ally,0,1200,0,270,20,12000,           Healer+,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,240,120,180,300,480,50,Restores a whole lot of HP              
14,5,          Alhealer,18,Restore HP(MEN),All Allies,0,700,0,240,40,13000,          Alhealer,0,0,0,0,0,Fire,0,0,0,0,0,0,0,0,200,100,150,250,400,50,Restores a lot of HP                    
15,5,         Resurrect,40,Status Change,One Ally,0,0,0,270,20,12000,         Resurrect,0,0,0,0,0,Fire,0,128,100,0,0,0,0,0,240,120,180,300,480,0,Revives a fallen character              
16,2,            Tremor,15,Magical Damage(MAG),Area Enemies,160,150,600,240,40,12000,            Tremor,0,0,2000,0,50,Earth,10,0,0,0,0,0,0,0,160,80,120,200,320,25,Call up earth energy and attack         
17,2,             Quake,40,Magical Damage(MAG),All Enemies,520,150,0,360,60,13000,             Quake,0,0,2000,0,80,Earth,10,0,0,0,0,0,0,0,320,160,240,400,640,25,Attack all enemies with earth rage      
18,2,           Diggin',4,Ally Buff/Debuff,All Allies,0,0,0,120,20,11000,           Diggin',0,0,0,0,0,Fire,0,0,0,0,1,0,0,0,60,30,45,75,120,0,Ups defense with the power of earth     
19,2,          Def-Loss,5,Enemy Buff/Debuff,All Enemies,0,0,0,120,20,11000,          Def-Loss,0,0,0,0,0,Fire,0,0,0,0,-1,0,0,0,60,30,45,75,120,0,Drops defense with the power of earth   
20,2,           Gravity,8,Special,Area Enemies,0,0,800,150,25,11000,           Gravity,0,0,0,0,0,Fire,0,0,0,0,0,0,0,12,80,40,60,100,160,0,Use gravity to |gather enemies          
