	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 300  45  60  85  75  75  65  60  60   1 
     12  15   1   2   2   2   1   0   1   1   0 
     30  15   1   2   2   2   0   1   1   2   0 
     56  16   1   1   2   2   1   1   2   1   0 
     92  17   2   2   2   1   1   0   1   2   0 
    140  17   1   2   2   2   1   1   2   1   0 
    202  18   1   2   2   2   0   1   1   2   0 
    281  18   1   2   2   1   1   1   2   1   0 
    379  18   2   2   2   2   0   1   2   2   0 
    496  20   1   3   2   2   1   0   1   2   1 
    634  22   2   2   3   2   1   1   2   1   0 
    798  24   2   2   3   3   0   0   1   2   0 
    991  25   2   3   2   2   1   1   2   2   0 
   1213  28   2   2   3   2   0   1   2   1   0 
   1479  30   3   2   2   2   1   1   2   2   0 
   1794  31   2   3   3   3   0   0   2   2   0 
   2159  32   2   2   3   2   1   1   2   1   0 
   2584  33   3   2   2   2   1   1   2   2   0 
   3064  35   2   3   3   3   2   0   2   2   0 
   3604  37   3   2   2   2   1   1   2   2   1 
   4200  40   3   3   3   2   1   1   2   2   0 
   4864  43   3   3   3   2   0   1   2   2   0 
   5587  45   2   3   3   3   1   1   2   2   0 
   6385  46   3   4   3   3   1   0   2   2   0 
   7254  48   2   3   4   2   2   1   3   3   0 
   8205  49   3   3   3   3   1   1   2   2   0 
   9236  51   3   3   4   3   1   1   2   2   0 
  10364  53   3   4   3   3   0   1   2   2   0 
  11604  55   3   3   4   4   1   0   2   3   0 
  12961  57   2   4   3   3   1   1   2   2   1 
  14453  60   3   3   4   3   1   1   3   2   0 
  16079  64   3   4   4   4   0   1   2   2   0 
  17859  67   3   4   4   3   1   1   2   3   0 
  19808  70   4   4   3   4   1   1   2   2   0 
  21903  76   3   3   4   3   1   0   3   2   0 
  24144  79   3   4   4   3   2   1   2   3   0 
  26530  83   4   4   5   4   1   1   2   3   0 
  29047  86   3   4   4   4   1   1   3   2   0 
  31677  91   3   4   4   3   1   1   2   3   0 
  34438  95   4   5   5   4   2   2   2   3   1 
  37309 101   4   5   4   4   1   1   3   3   0 
  40280 106   5   5   5   4   1   1   3   3   0 
  43340 109   4   4   6   5   0   1   3   3   0 
  46507 112   5   5   5   4   1   0   3   4   0 
  49800 115   4   5   6   5   1   1   3   3   0 
  53274 110   5   5   5   4   0   0   3   3   0 
  56973 108   4   4   5   4   1   1   2   3   0 
  60893 105   4   5   4   4   1   0   3   3   0 
  65087 102   4   4   5   3   0   0   3   3   0 
  69637  99   3   5   4   4   1   1   3   2   1 
  74642  97   4   4   5   4   1   1   3   3   0 
  80197  94   4   4   4   3   0   0   2   3   0 
  86418  91   3   4   4   4   1   1   3   3   0 
  93416  89   4   5   5   3   0   0   3   2   0 
 101253  86   3   4   4   4   0   1   3   3   0 
 110187  82   3   4   4   3   1   0   2   2   0 
 120461  79   4   4   3   3   0   1   3   3   0 
 132481  77   3   4   4   4   0   0   3   3   0 
 146424  75   3   3   3   3   1   0   3   3   0 
 162876  73   3   4   4   3   0   0   3   3   0 
 181960  71   4   4   4   3   0   1   2   3   0 
 204383  69   3   3   3   4   1   0   2   3   0 
 231178  67   3   4   3   3   0   1   3   3   0 
 263332  64   3   4   4   3   0   0   3   2   0 
 301756  62   2   3   3   3   0   0   2   3   0 
 347864  60   2   4   3   2   1   1   2   3   0 
 402963  58   3   4   3   3   0   0   3   2   0 
 468415  57   3   3   2   2   0   0   2   3   0 
 533950  55   2   4   3   2   1   0   2   3   0 
 599485  54   3   3   3   3   0   1   2   3   0 
 665020  53   3   3   2   2   0   0   2   2   0 
 730555  51   2   4   2   2   0   0   2   3   0 
 796090  50   2   3   3   3   1   1   1   2   0 
 861625  48   3   4   2   2   0   0   2   2   0 
 927160  47   3   3   2   2   0   0   2   2   0 
 992695  46   2   3   3   2   0   1   2   3   0 
1058230  44   3   4   2   1   1   0   2   2   0 
1123765  43   3   3   2   2   0   0   2   2   0 
1189300  42   2   3   1   1   0   0   1   3   0 
1254835  41   2   3   2   1   0   1   2   2   0 
1320370  40   3   2   1   2   1   0   2   2   0 
1385905  39   2   3   1   1   0   1   2   2   0 
1451440  37   2   3   2   1   0   0   2   3   0 
1516975  36   2   3   1   2   1   0   1   2   0 
1582510  34   2   2   1   1   0   0   2   2   0 
1648045  30   2   2   2   1   0   1   1   1   0 
1713580  28   2   3   1   1   0   0   1   2   0 
1779115  27   1   2   1   2   1   1   2   2   0 
1844650  26   2   3   0   1   0   0   1   2   0 
1910185  25   1   2   1   1   0   0   1   1   0 
1975720  24   2   2   1   1   0   0   1   2   0 
2041255  23   2   2   0   2   1   1   2   2   0 
2106790  22   1   1   1   1   0   0   1   1   0 
2172325  21   1   2   1   1   0   0   1   2   0 
2237860  20   2   2   0   1   0   1   1   1   0 
2303395  19   1   2   1   1   1   0   1   2   0 
2368930  17   2   1   0   0   0   0   2   1   0 
2434465  16   1   2   1   1   0   1   1   1   0 
2500000  15   1   2   0   1   0   1   1   2   0 
	EXP	HP	 MP	 SP	STR	VIT	ACT	MOV	MAG	MEN	 SK
      0 300  60  70  75  65  70  60  60  90   1 
     12  17   2   1   1   2   1   1   1   2   0 
     30  18   2   1   1   1   0   0   2   2   0 
     56  18   3   1   2   1   1   1   1   3   0 
     92  19   2   1   1   2   1   0   2   2   0 
    140  19   2   1   1   1   0   1   1   2   0 
    202  20   3   1   1   1   1   0   1   2   0 
    281  20   2   1   2   2   0   0   2   2   0 
    379  21   2   1   1   1   1   0   1   2   0 
    496  21   3   1   1   2   0   1   1   2   1 
    634  22   2   1   2   2   0   0   1   2   0 
    798  22   2   1   1   1   1   1   2   2   0 
    991  23   3   2   2   1   1   0   1   2   0 
   1213  24   3   1   2   2   1   1   1   2   0 
   1479  25   3   2   1   2   0   0   1   2   0 
   1794  26   4   1   2   1   1   1   2   3   0 
   2159  28   3   2   2   2   1   0   1   2   0 
   2584  30   3   1   2   2   0   1   2   3   0 
   3064  31   4   2   3   2   1   0   2   2   0 
   3604  33   3   2   2   1   1   1   1   3   1 
   4200  34   4   1   3   2   1   1   2   3   0 
   4864  36   4   2   2   3   0   1   2   3   0 
   5587  38   3   2   3   2   1   1   1   3   0 
   6385  40   4   3   2   3   1   1   2   4   0 
   7254  41   4   2   3   2   0   0   3   3   0 
   8205  42   4   2   3   3   1   1   2   3   0 
   9236  45   5   3   2   3   1   1   2   4   0 
  10364  48   4   3   3   2   1   1   2   3   0 
  11604  50   4   4   3   3   2   0   2   4   0 
  12961  51   5   3   3   3   0   1   3   4   1 
  14453  53   4   3   2   3   1   1   2   4   0 
  16079  55   5   4   2   3   1   1   3   4   0 
  17859  58   5   3   3   4   1   1   2   5   0 
  19808  61   4   3   2   3   1   2   2   4   0 
  21903  64   5   4   3   3   1   1   3   4   0 
  24144  67   4   3   2   3   0   1   2   4   0 
  26530  71   5   4   3   4   1   1   3   5   0 
  29047  72   6   4   3   3   1   2   2   4   0 
  31677  75   5   4   4   3   1   1   3   4   0 
  34438  77   6   4   3   4   1   2   3   5   1 
  37309  81   6   5   3   3   1   1   3   5   0 
  40280  85   5   4   3   4   0   0   3   5   0 
  43340  88   6   5   3   4   0   1   3   4   0 
  46507  94   6   5   2   3   1   1   3   5   0 
  49800  98   6   5   3   4   0   0   2   5   0 
  53274 100   5   4   2   4   0   0   3   5   0 
  56973  97   6   4   3   3   1   0   3   5   0 
  60893  95   6   5   3   3   0   1   3   6   0 
  65087  93   5   4   2   4   0   0   2   5   0 
  69637  91   6   5   3   3   0   0   3   5   1 
  74642  89   5   5   3   3   0   1   2   6   0 
  80197  87   5   5   3   4   1   0   2   5   0 
  86418  85   5   5   3   3   0   0   2   5   0 
  93416  82   5   4   2   3   0   0   2   5   0 
 101253  80   4   4   3   3   1   1   3   4   0 
 110187  79   5   5   3   3   0   0   2   4   0 
 120461  77   4   5   2   3   0   1   2   5   0 
 132481  73   5   4   3   3   1   0   2   4   0 
 146424  71   4   4   2   3   0   0   3   4   0 
 162876  69   4   5   3   2   0   0   2   4   0 
 181960  67   3   4   3   3   1   1   2   3   0 
 204383  65   4   4   3   3   0   0   2   4   0 
 231178  63   4   4   2   3   0   0   3   3   0 
 263332  61   4   3   2   3   0   1   2   3   0 
 301756  59   3   4   3   2   1   0   2   3   0 
 347864  57   4   4   2   3   0   0   2   4   0 
 402963  56   3   3   2   2   0   1   2   3   0 
 468415  55   3   3   2   3   0   1   2   3   0 
 533950  54   4   4   2   2   1   1   2   4   0 
 599485  53   3   3   3   3   0   0   2   3   0 
 665020  52   3   3   2   2   0   0   1   3   0 
 730555  51   3   3   3   2   1   1   2   3   0 
 796090  50   2   2   2   2   0   0   2   3   0 
 861625  49   3   3   2   2   0   0   2   2   0 
 927160  47   3   3   3   2   0   0   1   2   0 
 992695  46   3   3   2   1   1   1   2   3   0 
1058230  44   2   2   2   2   0   0   2   3   0 
1123765  43   3   3   1   2   0   0   2   2   0 
1189300  42   3   2   2   1   1   1   1   2   0 
1254835  40   2   2   1   1   0   0   2   2   0 
1320370  39   2   2   1   2   0   0   2   3   0 
1385905  37   2   1   2   1   0   0   2   3   0 
1451440  35   3   2   1   1   0   1   1   2   0 
