NAME,TYPE1,TYPE2,LEVEL,HP,MP,SP,VIT,AGI,SPD,MEN,STA,IP STUN,IP CANCEL STUN,EVASION,EVASION MOVING,FIRE RESIST,WIND RESIST,EARTH RESIST,LIGHTNING RESIST,BLIZZARD RESIST,STATUS RESIST,RKB?,TREC,TDMG,THEAL,SIZE,NO ESCAPE,XP,SKILLCOINS,MAGICCOINS,GOLD,ITEM1,ITEM2,%1,%2
Big Foot,5,5,19,863,0,0,162,86,70,107,250,20,50,0,0,-8,0,0,0,9,0,20,660,240,500,90,0,29,47,35,46,242,144,10,3
Huge Caterpillar,2,2,19,725,0,0,131,76,50,97,288,20,50,0,0,0,0,0,0,0,6,10,600,270,500,100,0,21,33,36,5,126,797,15,2
Chameleon,3,3,24,897,0,0,167,87,64,125,269,20,50,0,0,0,0,0,0,0,1,5,600,330,500,100,0,14,27,13,50,125,729,15,3
Granas Knight,5,5,40,2795,0,0,246,109,45,137,307,20,50,0,0,0,0,0,0,0,0,10,600,240,500,80,1,90,150,0,200,573,503,15,5
Frost Frog,3,3,13,460,0,0,113,77,98,67,192,20,50,0,0,-3,0,0,0,5,0,5,840,240,500,90,0,11,26,17,37,129,163,30,8
Star Mirage,1,1,21,828,0,160,129,84,78,112,230,20,50,0,0,0,0,6,0,-5,8,0,600,240,500,100,0,16,39,19,73,129,67,10,2
Giga Mantis,2,2,34,1679,0,0,218,92,80,102,230,20,50,0,0,0,0,-4,6,0,0,10,480,420,500,100,0,42,49,16,53,103,576,15,5
Fenny Bird,1,1,35,1806,0,0,186,113,100,152,192,20,50,25,0,8,-6,0,0,-8,0,0,540,240,500,100,0,49,14,76,26,228,66,5,1
Crag Snake,3,3,11,322,0,0,125,80,99,53,192,20,50,0,0,0,0,5,0,0,1,5,720,450,500,100,0,12,24,20,27,126,768,20,5
Hammerhead,3,3,20,955,0,180,165,92,102,93,192,20,50,0,0,0,0,0,7,-2,0,20,780,360,500,130,0,33,48,38,48,127,61,15,3
Durham Minotaur,11,5,19,4830,0,360,140,126,60,110,269,20,50,0,0,0,-3,10,-6,0,130,25,300,540,500,150,1,210,720,0,0,0,51,0,100
Troglodyte,5,5,13,1127,0,210,118,74,40,90,288,20,50,10,0,-3,0,0,0,4,128,10,420,300,500,80,1,24,40,10,160,213,703,10,120
Twin Ogre,5,5,20,782,0,130,150,81,70,117,250,20,50,0,0,0,0,0,0,0,0,10,540,240,500,80,0,27,52,29,38,224,579,15,3
Warp Warrior,7,7,27,978,0,280,194,82,66,136,269,20,50,0,0,0,7,-8,0,0,130,10,600,300,500,80,0,28,59,3,41,132,725,10,2
Mottled Spider,2,2,10,300,0,60,110,53,59,60,269,20,50,0,0,0,0,0,0,0,0,5,780,300,500,90,0,8,15,5,2,106,249,20,5
Man-Eating Tree,6,6,31,1541,0,140,240,80,72,82,250,20,50,0,0,-6,0,0,0,0,136,15,540,420,500,70,0,54,63,51,70,112,715,15,125
Crimson Claw,2,2,30,1415,0,170,220,97,71,108,250,20,50,0,0,0,0,6,-5,0,2,5,600,300,500,60,0,31,41,28,65,243,131,10,5
Land Cougar,4,4,26,1150,180,0,170,118,103,142,192,20,50,20,0,0,8,3,0,0,8,10,480,480,500,120,0,25,17,49,22,113,209,20,5
Sandman,4,4,15,391,0,120,103,68,60,94,269,20,50,0,0,0,0,8,0,0,0,5,720,240,500,70,0,13,16,15,25,224,221,10,2
Crimson Tail,12,2,36,11270,0,620,230,156,73,128,250,15,30,0,0,0,0,7,-5,0,202,10,210,450,500,190,1,250,1200,300,1000,70,705,2,120
Skull Snail,7,7,27,1058,150,110,170,77,51,144,288,20,50,0,0,-4,0,7,0,7,2,10,720,300,500,120,0,30,25,46,15,207,255,15,5
Clay Bird,1,1,32,2070,140,150,221,106,79,133,192,20,50,0,0,0,-7,9,0,0,128,5,360,300,500,120,0,72,89,127,119,229,228,10,1
Hellhound,4,4,22,667,110,0,159,102,82,138,192,20,50,0,0,7,0,0,0,-7,0,5,420,240,500,120,0,19,22,53,54,223,312,15,1
Ghoul,7,7,17,771,70,100,135,79,42,115,288,20,50,0,0,-3,0,0,0,6,2,5,540,360,500,70,0,15,19,30,34,247,123,10,5
Brain Bat,7,7,41,1702,250,0,176,114,80,236,230,20,50,0,0,0,9,0,0,0,0,0,600,300,500,90,0,60,32,135,103,123,62,10,3
Gargoyle,6,6,10,437,80,0,115,47,69,135,250,20,50,0,0,0,0,0,0,0,30,5,480,240,500,90,0,18,54,21,12,218,316,20,1
Dragonoid,3,3,26,1104,50,80,195,98,94,132,192,20,50,0,0,6,0,-5,0,0,0,10,600,300,500,120,0,32,31,42,63,210,64,15,3
Naga Queen,13,6,43,14375,120,480,248,203,74,184,250,15,30,0,0,0,0,-7,0,8,234,15,180,420,500,150,1,375,0,640,800,70,706,2,120
Valmar Young,14,8,49,8280,300,560,312,180,83,145,230,15,30,0,0,0,0,0,0,0,224,10,120,480,500,170,1,300,750,0,425,123,716,10,125
Valmar Fly,8,8,48,4140,0,0,258,160,139,134,192,20,50,0,0,0,0,0,0,0,0,5,300,300,500,80,1,75,375,0,125,102,226,10,125
Yeti,5,5,44,2450,0,0,245,107,68,153,250,20,50,0,0,0,5,8,-6,0,128,20,600,360,500,100,0,74,9,4,117,214,678,10,125
Venomous Larva,2,2,38,1863,0,0,204,89,52,130,288,20,50,0,0,7,0,0,0,-4,0,10,600,420,500,110,0,57,72,52,56,112,161,15,5
Salamadile,3,3,41,1725,0,0,254,100,60,128,269,20,50,0,0,10,-6,0,0,-5,0,5,600,330,500,110,0,70,30,84,68,206,742,10,3
Flame Toad,3,3,30,1081,0,0,185,91,100,118,192,20,50,0,0,8,0,3,-2,-6,0,5,660,480,500,90,0,35,20,32,18,216,796,15,5
Immune Cell,1,1,39,1771,0,200,215,121,80,156,230,20,50,0,0,0,-4,0,10,0,8,0,600,300,500,110,0,64,84,41,64,244,426,10,122
Giant Mantis,2,2,15,483,0,0,122,82,78,80,230,20,50,0,0,-4,7,0,0,0,0,10,780,240,500,100,0,5,11,18,23,105,65,15,3
Dodo,1,1,10,265,0,0,110,58,98,110,192,20,50,0,0,0,0,0,0,0,0,0,840,270,500,100,0,6,10,8,7,106,114,20,5
Pit Viper,3,3,32,1242,0,0,197,101,101,122,192,20,50,0,0,5,0,-5,0,0,4,5,540,300,500,100,0,52,45,47,47,125,217,20,5
Dino Freezer,3,3,39,2105,0,240,270,110,99,186,192,20,50,0,0,-7,0,0,0,8,128,20,600,240,500,140,0,78,122,48,134,216,453,10,122
Leck Guarder,11,5,42,17250,0,750,273,219,62,139,269,15,30,0,0,9,0,0,0,0,201,25,240,600,500,160,1,400,1250,0,0,0,454,0,100
Scaly Warrior,5,5,30,1334,0,230,195,108,41,124,288,20,50,0,0,0,0,0,-4,0,0,10,360,240,500,80,0,45,51,23,93,104,63,15,3
Nyarmot,5,5,41,1921,0,220,235,85,70,162,250,20,50,0,0,7,0,-3,0,0,0,10,600,300,500,80,0,81,67,39,97,539,124,125,10
Ancient Warrior,7,7,45,2346,0,360,327,128,63,146,269,20,50,15,0,8,0,0,0,-7,130,10,600,270,500,80,0,97,86,14,196,151,522,10,125
Tarantula,2,2,38,1461,0,90,231,99,60,116,269,20,50,0,0,0,0,0,0,0,4,5,600,360,500,100,0,53,94,43,45,124,215,15,10
Killer Tree,6,6,44,2657,0,280,382,141,71,75,250,20,50,0,0,9,0,-6,0,0,128,15,600,180,500,80,0,117,34,6,186,70,71,1,125
Giant Crab,2,2,19,644,0,80,152,70,69,86,250,20,50,0,0,0,0,5,0,0,0,5,720,240,500,60,0,36,37,37,12,114,211,10,2
Snow Leopard,4,4,42,5290,320,0,267,191,102,165,192,20,50,30,0,-5,0,0,0,10,130,10,420,300,500,120,0,150,175,160,150,207,795,10,1
