Name,Unknown #1,Unknown #2,Type #1,Type #2,Level,Health,MP,SP,Vitality,Agility,Speed,Mentality,Stamina,IP Stun Duration,IP Cancel Stun Duration,Still Evasion Rate,Moving Evasion Rate,Fire Resist,Wind Resist,Earth Resist,Lightning Resist,Blizzard Resist,Ailments,Knockback Resist,Status Recovery Time,TDMG,Unknown #3,THEAL,Size,Unknown #4,Unknown #5,No Run Flag,Unknown #6,Experience,Skill Coins,Magic Coins,Gold Coins,Item #1,Item #2,Item #1 Chance,Item #2 Chance,Unknown #7,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance,Condition,Move #1 Chance,Move #2 Chance,Move #3 Chance,Move #4 Chance,Move #5 Chance
Big Foot,1,1,Humanoid,Humanoid,19,863,0,0,162,86,70,107,250,20,50,0,0,-8,0,0,0,9,0,20,660,240,0,500,90,200,0,False,0,29,47,35,46,Myriad Power Nut,Lumir Flower,10,3,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huge Caterpillar,2,1,Bug,Bug,19,725,0,0,131,76,50,97,288,20,50,0,0,0,0,0,0,0,6,10,600,270,0,500,100,200,0,False,0,21,33,36,5,Poison Antidote,Pretty Ring,15,2,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chameleon,3,1,Reptile,Reptile,24,897,0,0,167,87,64,125,269,20,50,0,0,0,0,0,0,0,1,5,600,330,0,500,100,200,0,False,0,14,27,13,50,Purifying Herb,Mirage Earring,15,3,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granas Knight,4,1,Humanoid,Humanoid,40,2795,0,0,246,109,45,137,307,20,50,0,0,0,0,0,0,0,0,10,600,240,0,500,80,200,0,True,0,90,150,0,200,Paladin Helmet,Paladin Armor,15,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frost Frog,6,1,Reptile,Reptile,13,460,0,0,113,77,98,67,192,20,50,0,0,-3,0,0,0,5,0,5,840,240,0,500,90,200,0,False,0,11,26,17,37,Eye Drops,Toad Oil,30,8,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Mirage,7,1,Bird,Bird,21,828,0,160,129,84,78,112,230,20,50,0,0,0,0,6,0,-5,8,0,600,240,0,500,100,200,0,False,0,16,39,19,73,Eye Drops,Seed of Running,10,2,0,1,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giga Mantis,8,1,Bug,Bug,34,1679,0,0,218,92,80,102,230,20,50,0,0,0,0,-4,6,0,0,10,480,420,0,500,100,200,0,False,0,42,49,16,53,Healing Fruit,Dragon Bone Helm,15,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenny Bird,9,1,Bird,Bird,35,1806,0,0,186,113,100,152,192,20,50,25,0,8,-6,0,0,-8,0,0,540,240,0,500,100,200,0,False,0,49,14,76,26,Silver Feather,Seed of Swift,5,1,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crag Snake,10,1,Reptile,Reptile,11,322,0,0,125,80,99,53,192,20,50,0,0,0,0,5,0,0,1,5,720,450,0,500,100,200,0,False,0,12,24,20,27,Poison Antidote,Snake Earrings,20,5,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammerhead,12,1,Reptile,Reptile,20,955,0,180,165,92,102,93,192,20,50,0,0,0,0,0,7,-2,0,20,780,360,0,500,130,200,0,False,0,33,48,38,48,Paralysis Salve,Seed of Life,15,3,0,1,75,25,0,0,0,3,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
