Name,MP,SP,Unknown #1,Target Effect,Strength,Power,AD,Target Type,Normal Attack Flag,Distance,Accuracy,Range,Cast Time,Recovery Time,Animation,Knockdown,IP Stun,IP Cancel Stun,Knockback,Element,Element Strength,Ailments,Ailments Chance,Attack Modifier,Defense Modifier,Action Modifier,Movement Modifier,Special
Attack,0,0,1,Physical Damage,85,200,85,One Enemy,True,150,100,0,60,9999,Physical Attack,False,0,0,120,Blizzard,9,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
Attack,0,0,20,Physical Damage,90,150,90,One Enemy,True,50,300,0,30,9999,Physical Attack,False,0,0,30,Earth,10,1,20,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
Attack,0,0,1,Physical Damage,110,170,160,One Enemy,True,91,100,0,60,9999,Physical Attack,False,0,0,60,Fire,0,1,15,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
Attack,0,0,4,Physical Damage,190,500,200,One Enemy,True,130,120,0,30,9999,Physical Attack,False,2000,3000,130,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
Attack,0,0,1,Physical Damage,55,125,70,One Enemy,True,197,100,0,60,9999,Physical Attack,False,0,0,150,Blizzard,8,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
,0,0,0,None,0,0,0,None,False,0,0,0,0,0,Physical Attack,False,0,0,0,Fire,0,0,0,0,0,0,0,0
